path,name,extension,size_bytes,modified_time,top_dir,doc_type,topic_tags,priority_hint,status,next_action
strategy_lab\nlp_text_factor_tools.py,nlp_text_factor_tools.py,.py,6410,2026-05-23T12:14:25,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\order_flow_factors.py,order_flow_factors.py,.py,42605,2026-05-23T11:35:13,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\portfolio_weighting_constraints.py,portfolio_weighting_constraints.py,.py,20040,2026-05-22T22:54:11,strategy_lab,code,portfolio|ml,P1,new,skim_then_extract
strategy_lab\risk_model_tools.py,risk_model_tools.py,.py,11397,2026-05-23T17:19:55,strategy_lab,code,risk,P1,new,skim_then_extract
strategy_lab\rotation_backtest_template.py,rotation_backtest_template.py,.py,7288,2026-07-21T17:21:19,strategy_lab,code,backtest,P1,new,skim_then_extract
strategy_lab\short_horizon_factor_models.py,short_horizon_factor_models.py,.py,40535,2026-05-23T17:28:40,strategy_lab,code,factor,P1,new,skim_then_extract
strategy_lab\text_sentiment_factors.py,text_sentiment_factors.py,.py,6554,2026-07-21T17:21:19,strategy_lab,code,factor|sentiment,P1,new,skim_then_extract
configs\factor_factory_default.json,factor_factory_default.json,.json,467,2026-05-23T19:11:51,configs,data,factor,P1,new,skim_then_extract
configs\factor_factory_smoke.json,factor_factory_smoke.json,.json,582,2026-05-23T20:46:16,configs,data,factor,P1,new,skim_then_extract
configs\factor_factory_walk_forward_demo.json,factor_factory_walk_forward_demo.json,.json,679,2026-05-23T20:46:16,configs,data,factor,P1,new,skim_then_extract
data_catalog\a_share_factor_registry_v0.csv,a_share_factor_registry_v0.csv,.csv,8607,2026-05-23T19:13:56,data_catalog,data,data|factor,P1,new,skim_then_extract
data_catalog\factor_registry_template.csv,factor_registry_template.csv,.csv,1845,2026-05-23T19:11:52,data_catalog,data,data|factor,P1,new,skim_then_extract
logs\factor_factory_experiment_ledger.csv,factor_factory_experiment_ledger.csv,.csv,7751,2026-07-18T00:19:37,logs,data,factor,P1,new,skim_then_extract
portfolio_lab\long_hold_v4\account.example.json,account.example.json,.json,742,2026-07-22T22:59:54,portfolio_lab,data,portfolio,P1,new,skim_then_extract
portfolio_lab\long_hold_v4\account_events.example.json,account_events.example.json,.json,876,2026-07-17T18:12:51,portfolio_lab,data,portfolio,P1,new,skim_then_extract
portfolio_lab\long_hold_v4\pending_fills.example.csv,pending_fills.example.csv,.csv,244,2026-07-21T16:40:27,portfolio_lab,data,portfolio,P1,new,skim_then_extract
strategy_lab\agents\task_briefs\20260602_v3_89_fundamental_factor_engine.json,20260602_v3_89_fundamental_factor_engine.json,.json,2346,2026-06-02T23:34:56,strategy_lab,data,factor|fund_etf,P1,new,skim_then_extract
data_catalog\factor_factory_data_contract.md,factor_factory_data_contract.md,.md,2637,2026-05-23T19:11:52,data_catalog,markdown,data|factor,P1,new,skim_then_extract
factor_library\20日动量因子.md,20日动量因子.md,.md,1127,2026-05-22T21:17:22,factor_library,markdown,factor|timing,P1,new,skim_then_extract
factor_library\ETF_60日动量因子.md,ETF_60日动量因子.md,.md,1460,2026-05-22T21:23:11,factor_library,markdown,factor|timing|fund_etf,P1,new,skim_then_extract
factor_library\factor_card_template.md,factor_card_template.md,.md,195,2026-05-22T21:04:52,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\HIRSSM_V2因子治理与入库规则.md,HIRSSM_V2因子治理与入库规则.md,.md,3395,2026-05-24T19:49:10,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\三个月反转因子.md,三个月反转因子.md,.md,1590,2026-05-22T21:52:12,factor_library,markdown,factor|timing,P1,new,skim_then_extract
factor_library\交易约束纸面跟踪与真实数据Panel层.md,交易约束纸面跟踪与真实数据Panel层.md,.md,1847,2026-05-23T20:55:00,factor_library,markdown,data|factor,P1,new,skim_then_extract
factor_library\低PB因子.md,低PB因子.md,.md,1252,2026-05-22T21:17:22,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\分析师评级红利容量与模型集成因子.md,分析师评级红利容量与模型集成因子.md,.md,4053,2026-05-23T11:52:36,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\华泰换手率波动率质量一致预期因子库.md,华泰换手率波动率质量一致预期因子库.md,.md,2980,2026-05-23T12:33:12,factor_library,markdown,factor|risk|execution,P1,new,skim_then_extract
factor_library\回测过拟合概率与研究治理.md,回测过拟合概率与研究治理.md,.md,2778,2026-05-23T12:07:52,factor_library,markdown,backtest|factor,P1,new,skim_then_extract
factor_library\因子拥挤度监控因子.md,因子拥挤度监控因子.md,.md,3465,2026-05-22T22:12:41,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\季节效应主动成交与深度学习特征工程.md,季节效应主动成交与深度学习特征工程.md,.md,4270,2026-05-23T11:39:18,factor_library,markdown,factor|ml,P1,new,skim_then_extract
factor_library\文本情绪因子与基金标签体系.md,文本情绪因子与基金标签体系.md,.md,2377,2026-05-23T12:16:14,factor_library,markdown,factor|sentiment|fund_etf,P1,new,skim_then_extract
factor_library\机构持仓价值与盈利加速因子.md,机构持仓价值与盈利加速因子.md,.md,4256,2026-05-23T11:31:57,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\条件期望因子择时.md,条件期望因子择时.md,.md,2055,2026-05-23T11:57:26,factor_library,markdown,factor|timing,P1,new,skim_then_extract
factor_library\深度学习高频因子改进检查清单.md,深度学习高频因子改进检查清单.md,.md,2292,2026-05-23T18:23:07,factor_library,markdown,factor|ml,P1,new,skim_then_extract
factor_library\研究训练质量门与作业模板.md,研究训练质量门与作业模板.md,.md,2568,2026-05-23T12:11:15,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\空头收益转化与敞口预算.md,空头收益转化与敞口预算.md,.md,2076,2026-05-22T22:55:39,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\结构化风险模型与组合优化.md,结构化风险模型与组合优化.md,.md,2222,2026-05-22T23:01:17,factor_library,markdown,factor|portfolio|risk,P1,new,skim_then_extract
factor_library\行为金融因子假说库.md,行为金融因子假说库.md,.md,1982,2026-05-23T12:43:41,factor_library,markdown,factor|behavioral,P1,new,skim_then_extract
factor_library\资金流向与大单行为因子.md,资金流向与大单行为因子.md,.md,7601,2026-05-22T22:38:14,factor_library,markdown,factor,P1,new,skim_then_extract
factor_library\高频因子组合应用与调仓优化.md,高频因子组合应用与调仓优化.md,.md,3470,2026-05-22T22:45:48,factor_library,markdown,factor|portfolio,P1,new,skim_then_extract
factor_library\高频空头效应与多头失效.md,高频空头效应与多头失效.md,.md,2973,2026-05-22T22:52:01,factor_library,markdown,factor,P1,new,skim_then_extract
notes\AI金融论文雷达_因子挖掘与组合风险学习笔记.md,AI金融论文雷达_因子挖掘与组合风险学习笔记.md,.md,3538,2026-05-23T12:21:52,notes,markdown,factor|portfolio|risk|ml,P1,new,skim_then_extract
notes\HIRSSM_V2优化版模型设计.md,HIRSSM_V2优化版模型设计.md,.md,12876,2026-05-24T19:47:43,notes,markdown,portfolio,P1,new,skim_then_extract
notes\LOB还原深度学习高频因子与注意力机制学习笔记.md,LOB还原深度学习高频因子与注意力机制学习笔记.md,.md,4382,2026-05-23T17:50:45,notes,markdown,factor|ml,P1,new,skim_then_extract
notes\个股加权与组合约束学习笔记.md,个股加权与组合约束学习笔记.md,.md,5644,2026-05-22T22:05:01,notes,markdown,portfolio,P1,new,skim_then_extract
notes\买卖单Alpha与主动买入行为学习笔记.md,买卖单Alpha与主动买入行为学习笔记.md,.md,6293,2026-05-22T22:24:19,notes,markdown,factor,P1,new,skim_then_extract
